question,answer,brand,url
How do I retrieve my quote?,"We sent an email of your quote to you when it was first made. Search your inbox to retrieve the email and the reference number which will be on the document. Depending on when the quote was made, it may or may not still be valid. If it has expired you will need to get a new quote.If you can't find the email we sent you but you have the quote number at hand, you can follow these links to retrieve your quote online:Car Insurance QuoteNSW CTP QuoteMotorcycle Insurance QuoteHome Insurance QuoteTo retrieve any of the following quotes, please call us on 13 22 44:Health StrataCaravan Commercial Property InsuranceTravel",aami,https://www.aami.com.au/faq/how-do-i-retrieve-my-quote.html
Do I need to add a learner driver to my policy?,"Don't stress - there's no need to update your policy to include a learner driver. They're automatically covered under your insurance policy when you make a claim, as long as there's an insured, licensed driver in the front passenger seat with them when they're driving. If a learner, young or inexperienced driver is driving at the time of an incident, you may have to pay an additional excess. Check your policy documents to find out what excesses apply to your cover.Learn more about Car Insurance",aami,https://www.aami.com.au/faq/do-i-need-to-add-a-learner-driver-to-my-policy.html
Am I covered if I use my car for ridesharing services like Uber?,"If you're an AAMI Comprehensive car insurance policy holder, your cover can extend to ridesharing services like Uber, DiDi and Ola. This is when the owner of the car, or a driver listed on the policy, drives the car for passengers for a fee.If you're considering taking up ridesharing, you must let us know. You can do this easily via your My Account through these simple steps:Log in to your My Account and select your car insurance policy.Click ‘Update policy’ and then scroll down to ‘Car usage’.Select the ‘Ridesharing’ box from the list.Alternatively, you can call 13 22 44 to speak to one of our customer service agents. It's important to note that this may affect your premium. Learn more about Comprehensive Car Insurance",aami,https://www.aami.com.au/faq/am-i-covered-if-i-use-mPfaqy-car-for-ridesharing-services-like-uber.html
What discounts can I get on my policy?,"Although AAMI doesn’t offer a multi-policy and pension discounts, we do have a Safe Driver Rewards program, also known as a no claims bonus. It awards Comprehensive Car Insurance policy holders with benefits and rewards for every consecutive year they don’t make a claim. The longer you’ve been with AAMI and not made a claim, the better your discounts and rewards will be. If you’re looking for more ways to save on your insurance policy, this article has a lot of useful information.",aami,https://www.aami.com.au/faq/what-discounts-can-i-get-on-my-policy.html
Are there any types of caravans you don't insure?,"AAMI offers insurance for standard caravans – that is, non-motorised vehicles, usually with two wheels that can be towed by a car. That means we don’t offer insurance for the following caravan types or uses:Campervans (motorised caravans)Homemade caravansMotorhomes Trailers (aside from camper trailers)Caravans used as courtesy vansCaravans converted to sell food or beveragesCaravans converted to sell other goods e.g. flowersCaravans used as demonstration vansCaravans used for hire or rewardCaravans used for any business purposeCaravans used for any business or commercial purpose including carrying goods, used by caravan hire, trade or motor tradeCaravans used by home sharing schemes or short term/holiday rental accommodationLearn more about caravan insurance",aami,https://www.aami.com.au/faq/are-there-any-types-of-caravans-you-dont-insure.html
How do I get a copy of my insurance certificate?,"If you have an eligible AAMI policy, you can grab your Certificate of Insurance, or COI — from our Documents Hub. You just need to pop in your name, date of birth and phone number, and we’ll text you secure PIN that gives you access to your documents.Eligible policies are:Comprehensive Car InsuranceCTP InsuranceMotorcycle InsuranceCaravan InsuranceThird Party Property Damage Car InsuranceHome Building & Contents InsuranceHome Building InsuranceHome Contents InsuranceContents (Fire & Theft) InsuranceBuilding for Landlords InsuranceContents for Landlords InsuranceIf your policy isn’t on this list, give us a call on 13 22 44 and we can send you a copy of your certificate.",aami,https://www.aami.com.au/faq/how-do-i-get-a-copy-of-my-insurance-certificate.html
What does AAMI Home Assist provide?,"If you have a home emergency at your insured address and you’ve added AAMI Home Assist to your policy at least 24 hours prior, we’ll dispatch a selected trade service to your insured address for a period of up to two hours to provide assistance. The 2 hours commences when the tradesperson arrives at your address.Learn more about home assist",aami,https://www.aami.com.au/faq/what-does-aami-home-assist-provide.html
Which driver's licences are accepted for AAMI policies?,"If you're legally allowed to drive in Australia, and you have a permanent Australian address, you can purchase AAMI Car Insurance or be listed as a driver by someone who has.For drivers from overseas with international licences, this means that you can still take out an AAMI policy or be listed driver on someone else's policy, providing you comply with the laws in your state regarding driving with a non-Australian licence.Learn more about car insurance",aami,https://www.aami.com.au/faq/which-drivers-licences-are-accepted-for-aami-policies.html
Do I get a hire car in the event of a claim?,"Hire cars are included in two instances for Comprehensive Car Insurance, when an incident is covered by your policy. Firstly, if an incident wasn’t your fault and secondly, if your car was stolen.If your car is damaged by an incident where you weren’t at fault and it cannot be safely driven for repairs, as long as you can give us the name and address of the person at fault and the registration number of the at fault vehicle involved, we’ll cover the reasonable cost of a hire car that meets your transport needs.If your car is stolen, we will cover the reasonable cost of a hire car that meets your transport needs for up to 21 days.You also have the opportunity to add hire car as an optional cover with your AAMI Comprehensive Car Insurance. Enjoy the convenience of a hire car when your car's out of action following an incident covered by your policy, even if it's your fault.If you have Third Party Fire & Theft Car Insurance, and your car is stolen, we will cover the reasonable cost of a hire car that meets your transport needs for up to 21 days.Limits, exclusions and conditions apply. See PDS for further details.Learn more about Comprehensive Car Insurance",aami,https://www.aami.com.au/faq/do-i-get-a-hire-car-in-the-event-of-a-claim.html
What happens if my car is a total loss?,"If you have comprehensive insurance your car becomes a total loss if:it is stolen and unrecovered after 14 days and we accept your claim for theft of your car; orit is uneconomical or unsafe to repair, including where the combined repair costs and salvage value are likely to be more than the amount covered by your policy.If your car is more than 2 years old, we pay the amount covered less any applicable deductions.For full details, please download the Comprehensive Car Insurance PDS and Additional Information Guide.If your car is less than 2 years old, and you bought it new, we'll replace it with a new car of the same make, model and series (if available within 90 days), or similar if not available. If you choose not to accept the replacement car, or where an agreement cannot be reached between us on a replacement car, or a replacement car cannot be supplied, we will pay you the amount covered on your certificate of insurance (less any deductions). See the PDS for full details.Learn more about Comprehensive Car Insurance",aami,https://www.aami.com.au/faq/what-happens-if-my-car-is-a-total-loss.html
